timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643302721659,2472,Login-page,502,Bad Gateway,CDI-J&J 1-115,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2472,0,2403
1643302722160,1947,Login-page,502,Bad Gateway,CDI-J&J 1-165,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,1940,0,1808
1643302722426,1706,Login-page,502,Bad Gateway,CDI-J&J 1-186,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1706,0,1634
1643302723203,904,Login-page,502,Bad Gateway,CDI-J&J 1-211,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,904,0,808
1643302723206,933,Login-page,502,Bad Gateway,CDI-J&J 1-250,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,933,0,850
1643302723409,709,Login-page,502,Bad Gateway,CDI-J&J 1-287,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,709,0,619
1643302723369,738,Login-page,502,Bad Gateway,CDI-J&J 1-264,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,731,0,642
1643302723623,484,Login-page,502,Bad Gateway,CDI-J&J 1-310,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,477,0,345
1643302722903,1228,Login-page,502,Bad Gateway,CDI-J&J 1-223,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1228,0,1159
1643302721460,2672,Login-page,502,Bad Gateway,CDI-J&J 1-95,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2672,0,2602
1643302720681,3426,Login-page,502,Bad Gateway,CDI-J&J 1-7,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,3425,0,3351
1643302720821,3310,Login-page,502,Bad Gateway,CDI-J&J 1-31,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,3310,0,3213
1643302722300,1832,Login-page,502,Bad Gateway,CDI-J&J 1-179,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1832,0,1760
1643302723373,745,Login-page,502,Bad Gateway,CDI-J&J 1-280,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,745,0,672
1643302721531,2592,Login-page,502,Bad Gateway,CDI-J&J 1-102,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2592,0,2521
1643302722149,1991,Login-page,502,Bad Gateway,CDI-J&J 1-164,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,1991,0,1935
1643302722845,1295,Login-page,502,Bad Gateway,CDI-J&J 1-206,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,1295,0,1238
1643302721220,2912,Login-page,502,Bad Gateway,CDI-J&J 1-71,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2912,0,2814
1643302721349,2791,Login-page,502,Bad Gateway,CDI-J&J 1-84,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,2791,0,2734
1643302721820,2287,Login-page,502,Bad Gateway,CDI-J&J 1-131,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,2287,0,2218
1643302723368,750,Login-page,502,Bad Gateway,CDI-J&J 1-260,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,750,0,677
1643302721270,2850,Login-page,502,Bad Gateway,CDI-J&J 1-76,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2850,0,2777
